Tree,X,Y,Type,Caliper_DBH,Corteza Rugosa,1,2,3,4,5,6,7,8,9,10,Media,RANSAC_DBH,1,2,3,4,5,6,7,8,9,10,Media,Monte Carlo_DBH,Optimal Circle_DBH,,,
229,448063.946,4432142.550,ok,0.410,1,0.418,0.364,0.398,0.322,0.384,0.384,0.368,0.382,0.380,0.396,0.380,0.382,0.396,0.399,0.399,0.396,0.399,0.400,0.400,0.398,0.397,0.399,0.398,0.397,0.388,,,
230,448061.581,4432144.280,ok,0.295,1,,,,,,,,,,,,0.286,,,,,,,,,,,,0.275,0.255,,,
231,448065.433,4432135.553,ok,0.220,1,,,,,,,,,,,,0.228,,,,,,,,,,,,0.239,0.286,,,
232,448061.775,4432138.864,ok,0.270,1,,,,,,,,,,,,0.234,,,,,,,,,,,,0.232,0.235,,,
233,448056.843,4432148.442,ok,0.390,1,0.432,0.442,0.376,0.388,0.424,0.430,0.378,0.376,0.398,0.396,0.404,0.398,0.386,0.383,0.382,0.384,0.387,0.385,0.385,0.381,0.384,0.384,0.384,0.382,0.386,,,
234,448057.001,4432142.309,ok,0.480,1,,,,,,,,,,,,0.482,,,,,,,,,,,,0.468,0.469,,,
235,448051.873,4432147.209,ok,0.405,1,0.390,0.384,0.398,0.400,0.386,0.394,0.338,0.420,0.368,0.408,0.389,0.390,0.382,0.383,0.381,0.384,0.385,0.380,0.381,0.384,0.386,0.382,0.383,0.385,0.379,,,
236,448049.496,4432154.722,ok,0.355,1,,,,,,,,,,,,0.370,,,,,,,,,,,,0.368,0.366,,,
237,448046.968,4432151.100,ok,0.390,0,,,,,,,,,,,,0.398,,,,,,,,,,,,0.393,0.387,,,
238,448047.220,4432156.253,ok,0.425,1,,,,,,,,,,,,0.398,,,,,,,,,,,,0.417,0.412,,,
239,448044.637,4432158.613,ok,0.385,1,,,,,,,,,,,,0.368,,,,,,,,,,,,0.374,0.367,,,
240,448041.921,4432155.263,ok,0.145,0,,,,,,,,,,,,0.196,,,,,,,,,,,,0.168,0.146,,,
241,448036.789,4432159.764,ok,0.340,0,0.324,0.320,0.396,0.304,0.394,0.314,0.396,0.378,0.315,0.386,0.353,0.324,0.364,0.363,0.360,0.355,0.361,0.364,0.362,0.362,0.361,0.363,0.362,0.363,0.349,,,
242,448037.497,4432164.340,ok,0.535,1,0.477,0.532,0.498,0.450,0.488,0.532,0.531,0.538,0.486,0.532,0.506,0.488,0.498,0.503,0.501,0.494,0.492,0.499,0.498,0.497,0.494,0.501,0.498,0.501,0.486,,,
243,448031.072,4432163.486,ok,0.490,1,,,,,,,,,,,,0.522,,,,,,,,,,,,0.523,0.521,,,
247,448063.100,4432163.157,ok,0.140,0,,,,,,,,,,,,0.120,,,,,,,,,,,,0.126,0.121,,,
250,448068.114,4432159.597,ok,0.818,1,,,,,,,,,,,,0.750,,,,,,,,,,,,0.753,0.754,,,
251,448014.598,4432183.341,ok,0.665,1,,,,,,,,,,,,0.752,,,,,,,,,,,,0.743,0.640,,,
252,448012.198,4432179.893,ok,0.380,1,,,,,,,,,,,,0.312,,,,,,,,,,,,0.373,0.355,,,
254,448008.669,4432182.967,ok,0.300,0,,,,,,,,,,,,0.334,,,,,,,,,,,,0.321,0.311,,,
255,448010.268,4432187.505,ok,0.290,0,,,,,,,,,,,,0.312,,,,,,,,,,,,0.283,0.267,,,
256,448004.628,4432186.292,ok,0.320,1,,,,,,,,,,,,0.264,,,,,,,,,,,,0.337,0.341,,,
259,447997.138,4432192.374,ok,0.410,1,,,,,,,,,,,,0.368,,,,,,,,,,,,0.354,0.337,,,
260,448004.484,4432192.000,ok,0.310,0,,,,,,,,,,,,0.304,,,,,,,,,,,,0.312,0.292,,,
262,447994.715,4432194.621,ok,0.490,1,,,,,,,,,,,,0.444,,,,,,,,,,,,0.451,0.451,,,
263,447991.587,4432196.678,ok,0.400,1,,,,,,,,,,,,0.394,,,,,,,,,,,,0.398,0.393,,,
264,447988.797,4432199.504,ok,0.330,0,,,,,,,,,,,,0.326,,,,,,,,,,,,0.366,0.310,,,
265,447992.044,4432202.366,ok,0.385,1,,,,,,,,,,,,0.394,,,,,,,,,,,,0.368,0.360,,,
266,447987.267,4432206.447,ok,0.320,0,,,,,,,,,,,,0.326,,,,,,,,,,,,0.318,0.306,,,
267,447979.916,4432207.137,ok,0.293,0,,,,,,,,,,,,0.294,,,,,,,,,,,,0.269,0.266,,,
268,447982.863,4432209.909,DBH < 10 cm.,0.095,0,,,,,,,,,,,,0.000,,,,,,,,,,,,0.000,0.000,,,
